severity,lng,lat
property,149.058756,-35.252015
injury,149.082952,-35.19178
property,149.083393,-35.338466
property,149.131795,-35.277626
injury,149.092243,-35.217002
property,149.124121,-35.251731
injury,149.130357,-35.27154
injury,149.133358,-35.253575
injury,149.131104,-35.275593
property,149.145668,-35.21594
property,149.141787,-35.311098
property,149.126773,-35.275627
injury,149.147739,-35.292067
injury,149.118566,-35.277765
property,149.064567,-35.358837
injury,149.127728,-35.32839
injury,149.128596,-35.33033
injury,149.153416,-35.296805
injury,149.126471,-35.295604
property,149.12591,-35.275364
property,149.125373,-35.263606
property,149.056169,-35.247334
property,149.093047,-35.384627
injury,149.133111,-35.305867
property,149.064084,-35.241557
property,149.126368,-35.3123
property,149.124018,-35.282626
property,149.147824,-35.270928
property,149.229527,-35.342522
injury,149.092782,-35.371915
property,149.129409,-35.277404
injury,149.154129,-35.251026
property,149.137416,-35.28263
injury,149.056151,-35.247499
property,149.077911,-35.423955
property,149.149673,-35.337509
injury,149.062342,-35.221551
property,149.08628,-35.19423
property,149.124061,-35.2827
property,149.13251,-35.266892
property,149.179631,-35.336284
injury,149.034278,-35.207236
injury,149.136773,-35.31684
property,149.140959,-35.249741
property,149.13024,-35.272263
injury,149.124542,-35.278275
injury,149.086613,-35.326388
injury,149.080627,-35.260358
property,149.135035,-35.26768
injury,149.119504,-35.272894
injury,149.067258,-35.24111
property,149.134656,-35.24412
property,149.145701,-35.316652
property,149.087087,-35.357871
property,149.123364,-35.269545
property,149.086629,-35.326323
property,149.104069,-35.31284
property,149.118957,-35.30103
property,149.103473,-35.239897
property,149.097513,-35.313957
injury,149.085284,-35.351962
property,149.131579,-35.316506
property,149.132207,-35.276868
property,149.131604,-35.285022
injury,149.159756,-35.329269
injury,149.08574,-35.336452
property,149.120309,-35.272904
property,149.127197,-35.326659
property,149.132155,-35.277212
property,149.151735,-35.324674
property,149.098151,-35.318414
property,149.053767,-35.328717
property,149.122269,-35.264964
injury,149.121518,-35.27385
property,149.127811,-35.27945
property,149.124665,-35.283709
property,149.136666,-35.2485
property,149.149367,-35.187353
property,149.18312,-35.340517
property,149.141721,-35.311173
property,149.086997,-35.357892
injury,149.092612,-35.364392
property,149.125302,-35.27731
property,149.104921,-35.310475
injury,149.133127,-35.319097
injury,149.09108,-35.435278
property,149.14069,-35.250431
property,149.128684,-35.310618
injury,148.932212,-35.333277
injury,149.153076,-35.325275
property,149.129784,-35.275081
injury,149.123745,-35.329583
property,149.056525,-35.349076
injury,149.139394,-35.471989
injury,149.148955,-35.32561
property,149.123265,-35.269535
property,149.097267,-35.274071
property,149.143248,-35.324552
property,149.068759,-35.418327
property,149.124386,-35.280783
property,149.119292,-35.267707
property,149.097472,-35.31386
property,149.124017,-35.276534
property,149.027913,-35.207525
injury,149.134651,-35.244147
property,149.125193,-35.263685
property,149.140736,-35.250349
property,149.125383,-35.263602
property,149.139968,-35.281995
injury,149.141637,-35.26334
property,149.126714,-35.322573
property,149.121966,-35.273346
injury,149.131138,-35.275386
injury,149.114548,-35.26834
property,149.153799,-35.228851
property,149.081442,-35.188599
injury,149.144719,-35.407005
injury,149.040968,-35.336017
injury,149.102342,-35.160814
property,149.129849,-35.274683
injury,149.134736,-35.339563
property,149.133779,-35.266563
injury,149.120268,-35.27301
property,149.134812,-35.320479
property,149.011574,-35.213192
property,149.151178,-35.253258
property,149.154129,-35.251026
property,149.109155,-35.206506
injury,149.133953,-35.276373
property,149.123593,-35.268112
injury,149.130452,-35.444108
property,149.11551,-35.281919
property,149.043257,-35.335116
property,149.132852,-35.260599
property,149.130497,-35.270671
property,149.14436,-35.272277
property,149.129574,-35.275762
property,149.067897,-35.248064
property,149.062925,-35.320316
injury,149.060021,-35.235296
property,149.135232,-35.255475
property,149.125389,-35.263599
property,149.08333,-35.34866
property,149.076653,-35.340018
property,149.146208,-35.248531
injury,149.171507,-35.335417
property,149.133589,-35.308065
injury,149.126367,-35.278141
property,149.073578,-35.241974
property,149.138372,-35.320236
injury,149.076063,-35.248192
injury,149.146778,-35.313696
property,149.134109,-35.273412
property,149.035256,-35.352858
