,school,type,district,capacity,capacity_now,capacity_2027,lng,lat,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,year_2026,year_2027
19,Curtin Primary,primary,Woden Valley,612.0,0.727124183,0.709150327,149.0797825,-35.33130384,395.0,378.0,351.0,404.0,424.0,425.0,448.0,465.0,500.0,512.0,492.0,470.0,479.0,445.0,445.0,434.0,429.0,430.0,434.0
20,Dickson College,college,North Canberra,1091.0,0.725022915,0.760769936,149.1536633,-35.24927318,754.0,710.0,720.0,751.0,798.0,819.0,867.0,820.0,838.0,841.0,746.0,723.0,742.0,769.0,807.0,788.0,782.0,782.0,830.0
21,Duffy Primary,primary,Weston Creek,541.0,0.71349353,0.689463956,149.0324837,-35.33514934,185.0,205.0,233.0,294.0,304.0,336.0,316.0,318.0,345.0,384.0,391.0,390.0,382.0,386.0,394.0,390.0,383.0,379.0,373.0
22,Erindale College,college,Tuggeranong,955.0,0.641884817,0.698429319,149.0965637,-35.40304265,769.0,716.0,624.0,588.0,530.0,525.0,533.0,520.0,490.0,438.0,471.0,604.0,579.0,554.0,650.0,655.0,654.0,663.0,667.0
23,Evatt Primary,primary,Belconnen,503.0,0.560636183,0.560636183,149.0757089,-35.20697919,296.0,301.0,287.0,294.0,282.0,256.0,262.0,285.0,269.0,274.0,269.0,289.0,297.0,282.0,294.0,292.0,287.0,288.0,282.0
24,Evelyn Scott School*,primary,Molonglo,600.0,0.398333333,1.0,149.0273716,-35.30678179,,,,,,,,,,,,,124.0,239.0,311.0,383.0,452.0,526.0,600.0
25,Evelyn Scott School*,high,Molonglo,,,,149.0273716,-35.30678179,,,,,,,,,,,,,,,62.0,130.0,209.0,300.0,359.0
26,Fadden Primary,primary,Tuggeranong,433.0,0.575057737,0.542725173,149.118187,-35.40377215,286.0,266.0,275.0,289.0,300.0,304.0,328.0,325.0,307.0,307.0,286.0,294.0,269.0,249.0,254.0,251.0,252.0,244.0,235.0
27,Farrer Primary,primary,Woden Valley,456.0,0.664473684,0.655701754,149.1073121,-35.37858972,286.0,284.0,287.0,278.0,297.0,290.0,305.0,305.0,320.0,331.0,345.0,349.0,334.0,303.0,306.0,301.0,299.0,303.0,299.0
28,Florey Primary,primary,Belconnen,583.0,0.716981132,0.737564322,149.0528916,-35.22632958,333.0,326.0,340.0,359.0,372.0,406.0,431.0,442.0,431.0,427.0,425.0,409.0,422.0,418.0,423.0,425.0,428.0,427.0,430.0
29,Forrest Primary,primary,South Canberra,733.0,0.739427012,0.809004093,149.1257265,-35.3145078,419.0,418.0,452.0,453.0,438.0,456.0,472.0,482.0,476.0,507.0,537.0,563.0,530.0,542.0,562.0,568.0,576.0,584.0,593.0
30,Franklin School,primary,Gungahlin,533.0,0.789868668,0.636022514,149.1453717,-35.19625305,,,,,20.0,81.0,113.0,147.0,184.0,181.0,252.0,310.0,363.0,421.0,410.0,394.0,375.0,361.0,339.0
31,Fraser Primary,primary,Belconnen,583.0,0.929674099,0.85077187,149.0431444,-35.19197227,383.0,378.0,357.0,353.0,371.0,371.0,378.0,401.0,443.0,467.0,492.0,520.0,530.0,542.0,534.0,530.0,513.0,502.0,496.0
32,Garran Primary,primary,Woden Valley,783.0,0.75734355,0.740740741,149.1030647,-35.34389574,427.0,486.0,469.0,509.0,526.0,534.0,553.0,551.0,581.0,583.0,595.0,612.0,602.0,593.0,589.0,584.0,580.0,580.0,580.0
33,Gilmore Primary,primary,Tuggeranong,310.0,0.390322581,0.4,149.1351347,-35.41907007,208.0,202.0,199.0,185.0,138.0,123.0,110.0,93.0,99.0,106.0,110.0,116.0,134.0,121.0,119.0,128.0,125.0,127.0,124.0
34,Giralang Primary,primary,Belconnen,357.0,0.826330532,0.708683473,149.0948908,-35.21370641,125.0,134.0,141.0,133.0,156.0,169.0,220.0,269.0,290.0,289.0,295.0,291.0,301.0,295.0,287.0,276.0,275.0,267.0,253.0
35,Gold Creek School*,high,Gungahlin,900.7901444,0.664971751,0.720478575,149.0938639,-35.17959263,516.0,585.0,571.0,556.0,522.0,478.0,501.0,549.0,561.0,574.0,584.0,575.0,558.0,599.0,615.0,620.0,640.0,646.0,649.0
36,Gold Creek School*,primary,Gungahlin,869.2098556,0.664971751,0.659219401,149.0938639,-35.17959263,420.0,417.0,394.0,434.0,449.0,437.0,471.0,540.0,589.0,596.0,572.0,568.0,582.0,578.0,584.0,579.0,582.0,579.0,573.0
37,Gordon Primary,primary,Tuggeranong,618.0,0.731391586,0.684466019,149.0866509,-35.45643516,407.0,360.0,357.0,392.0,371.0,383.0,407.0,410.0,411.0,412.0,426.0,432.0,437.0,452.0,437.0,441.0,437.0,432.0,423.0
38,Gowrie Primary,primary,Tuggeranong,495.0,0.56969697,0.525252525,149.1107899,-35.41322885,178.0,186.0,200.0,191.0,182.0,212.0,223.0,238.0,249.0,270.0,290.0,289.0,300.0,282.0,285.0,275.0,274.0,268.0,260.0
39,Gungahlin College,college,Gungahlin,1280.0,0.878125,1.12578125,149.1310174,-35.18539477,,,308.0,672.0,724.0,898.0,968.0,1028.0,1144.0,1142.0,1118.0,1158.0,1136.0,1104.0,1248.0,1286.0,1301.0,1372.0,1441.0
40,Harrison School*,high,Gungahlin,841.874541,0.747142204,0.678248328,149.151759,-35.19920681,,,39.0,127.0,240.0,322.0,400.0,447.0,470.0,521.0,591.0,602.0,636.0,629.0,646.0,601.0,585.0,576.0,571.0
41,Harrison School*,primary,Gungahlin,1345.125459,0.747142204,0.66610887,149.151759,-35.19920681,426.0,552.0,690.0,802.0,877.0,914.0,1014.0,1094.0,1160.0,1154.0,1153.0,1145.0,1149.0,1005.0,998.0,976.0,942.0,918.0,896.0
42,Hawker College,college,Belconnen,893.0,0.680851064,0.749160134,149.0326578,-35.24586131,752.0,764.0,735.0,567.0,503.0,449.0,422.0,436.0,430.0,482.0,520.0,453.0,532.0,608.0,635.0,634.0,645.0,671.0,669.0
43,Hawker Primary,primary,Belconnen,350.0,0.968571429,0.888571429,149.0347227,-35.24988483,259.0,262.0,289.0,279.0,287.0,281.0,313.0,334.0,343.0,347.0,344.0,345.0,330.0,339.0,338.0,326.0,317.0,315.0,311.0
